sampleID	disease	CDNA	dsp_fr	detected_genes	detected_spikes	read_pairs	pct_trim_Illum	pct_trim_Nex	pct_trim_Smart	per_base_quality_read1	per_base_quality_read2	per_seq_GC_read1	per_seq_GC_read2	paired_total	pct_alignment	paired_aligned_multi	paired_aligned_none	pct_duplication	pct_assigned	assigned	unassigned_ambiguity	unassigned_unmapped	unassigned_multimapping	unassigned_nofeatures	pct_assigned_dedup	assigned_dedup	unassigned_duplicate_dedup	pct_ambiguity	pct_multimapping	pct_nofeatures	top500tpm	batchvar	library_type	QCpass
WTCHG_288196_203203	20151130_C69	Inflamed	0.475	Fresh	5765	35	1537874	2.71966364	7.971473696	17.00581585	pass	pass	pass	pass	1535116	95.34	245275	136549	0.174185	58.34811279	1083046	63838	18987	470968	219341	46.48934909	862926	374473	0.041585131	0.306796359	0.142882362	79.09660905	p12	outlier: doublet	FALSE
WTCHG_288196_204201	20151130_C07	Uninflamed	0.41	Fresh	2491	33	1348982	2.893960038	7.752664281	10.91969656	pass	pass	warn	warn	1341823	95.27	155443	122940	0.132107	34.37528453	505910	14982	20272	190520	740042	27.35468423	402586	214245	0.011165407	0.14198594	0.551519835	89.24627364	p12	single cell	TRUE
WTCHG_288196_204202	20151130_C35	Uninflamed	0.189	Fresh	1786	37	1180014	4.145374546	8.737949318	22.71474253	pass	pass	warn	warn	1160832	92.97	134708	145140	0.404255	60.30281853	805077	16728	31140	252989	229123	30.65606937	409276	528925	0.014410354	0.217937652	0.19737826	98.06885688	p12	single cell	FALSE
WTCHG_288196_204203	20151130_C73	Uninflamed	0.166	Fresh	326	29	2470	3.198380567	15.54192229	12.68412439	pass	pass	pass	pass	2444	71.73	199	860	0.023959	39.40998487	1042	29	558	291	724	38.27534039	1012	61	0.011865794	0.119067103	0.296235679	100	p12	single cell	FALSE
WTCHG_288196_205201	20151130_C09	Uninflamed	0.345	Fresh	2356	41	1510949	3.208711876	8.284597664	12.038458	pass	pass	warn	warn	1500026	94.79	172384	150698	0.157618	34.27476116	566836	23065	25413	230588	807898	26.3803362	436278	287558	0.0153764	0.153722669	0.538589331	92.75950871	p12	single cell	TRUE
WTCHG_288196_205202	20151130_C42	Inflamed	0.164	Fresh	1348	41	1400356	3.948853006	8.744041724	17.57867042	pass	pass	fail	warn	1380093	91.58	90119	200119	0.633285	87.83715608	1253575	3060	43644	70392	56487	28.68974563	409448	882105	0.002217242	0.051005258	0.04092985	99.88759494	p12	single cell	FALSE
WTCHG_288196_205203	20151130_C76	Inflamed	0.201	Fresh	2859	40	1514029	2.753910262	8.522281893	27.85119486	pass	pass	fail	warn	1506991	89.33	204031	278654	0.428367	60.10016639	1094406	41623	68731	459388	156822	31.07014393	565778	785884	0.027619939	0.304837919	0.104062997	97.37458965	p12	outlier: endothelial	FALSE
WTCHG_288196_206201	20151130_C10	Inflamed	0.381	Fresh	3803	41	1625144	2.971859724	8.737962644	20.57144556	pass	pass	warn	pass	1614782	94.05	284567	174475	0.256505	53.27189516	1098939	54537	33265	646076	230070	37.88346138	781493	582045	0.033773599	0.400101066	0.142477437	88.49629768	p12	single cell	TRUE
WTCHG_288196_206202	20151130_C43	Uninflamed	0.129	Fresh	1173	41	1663478	3.379786207	7.899178412	19.03573619	pass	pass	warn	warn	1643824	92.28	257295	220138	0.555079	60.15632111	1235982	18377	47661	583573	169024	21.91926768	450357	1077031	0.011179421	0.355009417	0.10282366	99.93300941	p12	single cell	FALSE
WTCHG_288196_206203	20151130_C79	Uninflamed	0.206	Fresh	1956	40	1494135	3.291068076	11.04216255	17.54880738	pass	pass	pass	pass	1482870	93.86	167173	167961	0.289617	45.05578819	748141	17415	34340	260629	599952	27.03367767	448888	500242	0.011744118	0.175759844	0.4045884	98.1490615	p12	single cell	FALSE
WTCHG_288196_207201	20151130_C11	Inflamed	0.347	Fresh	2938	40	1833555	3.287493421	8.251629055	11.45540913	pass	pass	warn	warn	1817805	94.85	208387	175149	0.171422	40.11153277	803937	34720	33291	271842	860464	30.19971521	605279	367205	0.019099958	0.149544093	0.473353302	85.66530121	p12	single cell	TRUE
WTCHG_288196_207202	20151130_C48	Inflamed	0.234	Fresh	2675	46	1636366	3.262839731	8.405586587	12.88821452	pass	pass	warn	warn	1625873	94.19	151098	182034	0.177035	38.07218026	649535	23785	30168	126519	876055	27.70590987	472680	327227	0.014629064	0.077816041	0.538821298	89.04288047	p12	outlier: endothelial	TRUE
WTCHG_288196_207203	20151130_C80	Uninflamed	0.304	Fresh	3019	37	1607576	2.961415199	8.252647542	12.57834764	pass	pass	warn	warn	1603271	94.73	187251	164887	0.157343	36.24836855	636003	32591	26696	231819	827461	28.07588184	492611	301800	0.020327817	0.144591276	0.516108007	88.54306197	p12	single cell	TRUE
WTCHG_288196_208201	20151130_C12	Uninflamed	0.21	Fresh	2502	43	1524293	3.518221234	9.490206275	24.48535092	pass	pass	warn	warn	1506852	91.77	187279	218617	0.457146	58.83670284	1010701	23025	47436	323170	313475	26.72279249	459046	788654	0.0152802	0.214466981	0.208033038	95.38387312	p12	single cell	TRUE
WTCHG_288196_208202	20151130_C49	Uninflamed	0.263	Fresh	2804	43	1604501	3.535865668	8.444704384	10.81920306	pass	pass	pass	warn	1591559	95.02	167037	151917	0.16158	42.73785658	729304	29172	24268	177334	746381	33.03507439	563730	298973	0.018329198	0.111421568	0.468962194	85.39949046	p12	single cell	TRUE
WTCHG_288196_208203	20151130_C81	Uninflamed	0.177	Fresh	1541	36	1458084	3.171765138	8.124712702	15.28457168	pass	pass	pass	pass	1450443	94.15	158660	154005	0.362285	64.35454461	1034081	26553	28868	231508	285840	35.2679466	566703	580494	0.018306821	0.159611925	0.197070826	98.09191992	p12	single cell	FALSE
WTCHG_288196_225201	20151130_C15	Inflamed	0.172	Fresh	2173	42	1639464	3.210073536	8.686755048	20.5576825	pass	pass	pass	pass	1619954	92.41	248848	214625	0.309455	39.95036248	815466	24712	52567	590532	557921	23.77897686	485376	672331	0.015254754	0.364536277	0.344405458	96.84639393	p12	single cell	TRUE
WTCHG_288196_225202	20151130_C52	Inflamed	0.144	Fresh	1660	45	1640725	3.058099316	8.616636207	25.99688076	pass	pass	fail	warn	1629884	88.29	111045	327665	0.629839	79.57828739	1342091	5398	80195	93755	165065	25.18713267	424782	1028212	0.003311892	0.057522499	0.101274078	99.83200131	p12	single cell	FALSE
WTCHG_288196_225203	20151130_C82	Uninflamed	0.141	Fresh	1315	44	1819432	3.56957556	8.086441269	18.53283673	pass	pass	warn	warn	1803194	92.14	187762	244157	0.613466	77.01247513	1550419	6606	51854	306427	97899	25.80343283	519476	1207748	0.003663499	0.169935681	0.054291995	99.8971857	p12	single cell	FALSE
WTCHG_288196_226201	20151130_C16	Uninflamed	0.331	Fresh	3501	39	1793839	3.139133445	8.322022942	12.85583217	pass	pass	warn	warn	1786411	95.43	207843	158248	0.190118	46.65795995	917435	35645	24103	268944	720172	34.65775042	681475	395297	0.019953415	0.150549901	0.403139031	86.16309016	p12	single cell	TRUE
WTCHG_288196_226202	20151130_C54	Uninflamed	0.141	Fresh	1325	42	1613778	3.935733416	8.426613754	19.88365239	pass	pass	fail	warn	1591438	91.3	151435	235553	0.648437	76.73034859	1335471	3142	52071	224226	125563	22.76656978	396246	1105353	0.001974315	0.140895216	0.078899084	99.88311879	p12	single cell	FALSE
WTCHG_288196_226203	20151130_C83	Uninflamed	0.238	Fresh	3090	51	1707865	3.24405032	10.93791814	22.59827892	pass	pass	warn	pass	1694514	92.72	182266	219862	0.396596	61.1492943	1164359	28615	47505	303961	359685	31.65485459	602748	747920	0.016886848	0.179379456	0.212264401	93.70888652	p12	single cell	TRUE
WTCHG_288196_227201	20151130_C22	Uninflamed	0.184	Fresh	2601	40	1561254	3.068623043	9.051303102	18.51441949	pass	pass	warn	pass	1552309	93.94	201147	171594	0.317209	58.38013887	1038578	47779	31672	337156	323807	35.43512281	630388	572253	0.03077931	0.217196447	0.208597	94.53983647	p12	single cell	TRUE
WTCHG_288196_227202	20151130_C60	Uninflamed	0.131	Fresh	1666	41	1476021	4.071148039	10.0250804	23.26935104	pass	pass	fail	warn	1440659	88.47	88315	265234	0.624577	79.17116252	1173988	3401	82421	64028	159010	25.02036621	371014	887406	0.002360725	0.04444355	0.1103731	99.48209044	p12	single cell	FALSE
WTCHG_288196_227203	20151130_C87	Uninflamed	0.186	Fresh	1263	38	1689795	3.10623478	8.445406416	18.27422634	pass	pass	pass	pass	1677833	93.2	190515	209673	0.481357	58.40983895	1125293	13362	37264	352279	398349	23.35453015	449936	909600	0.007963844	0.209960705	0.237418742	99.77138704	p12	single cell	FALSE
WTCHG_288196_228201	20151130_C26	Inflamed	0.418	Fresh	4208	36	1627679	3.023692018	8.81224045	12.78253327	pass	pass	pass	warn	1621048	87.95	170617	263914	0.149915	47.02984708	825553	40043	142898	203364	543523	37.6213483	660398	267969	0.024701921	0.125452177	0.33529112	77.27440626	p12	outlier: endothelial	TRUE
WTCHG_288196_228202	20151130_C63	Inflamed	0.227	Fresh	2537	39	1074581	3.666731498	8.542581368	13.50035646	pass	pass	pass	pass	1063246	94.8	108246	97784	0.209959	73.19320934	840594	32841	20916	128892	125216	54.79864758	629340	249088	0.03088749	0.121225003	0.117767666	88.10330571	p12	outlier: neural	TRUE
WTCHG_288196_228203	20151130_C90	Uninflamed	0.163	Fresh	1241	39	1660656	3.62453151	9.278331731	16.20523616	pass	pass	warn	warn	1626536	90	116665	246848	0.511846	61.75178082	1034648	575	92039	78350	469883	18.70808328	313453	827087	0.000353512	0.048169853	0.288885706	99.76071972	p12	single cell	FALSE
WTCHG_288196_255227	20151130_Bulk1	Uninflamed	0.24	Fresh	11392	56	1600501	2.810557444	8.976399448	10.83272177	pass	pass	pass	pass	1597004	94.64	266199	157160	0.152511	59.54704137	1171488	65223	26371	539413	164837	49.00723416	964135	349150	0.040840849	0.337765591	0.103216398	69.15887662	p12	bulk control	FALSE
WTCHG_288196_201205	20160513_C22	Inflamed	0.361	Fresh	3444	44	1779668	2.997862523	8.366366644	11.59140254	pass	pass	pass	pass	1774617	95.11	177503	167375	0.21225	49.22810259	939508	26940	25573	203252	713206	33.51375624	639603	418380	0.01518074	0.114532882	0.401892915	80.5135747	p13	single cell	TRUE
WTCHG_288196_201206	20160513_C48	Inflamed	0.411	Fresh	3838	46	1741550	2.861129454	7.572947097	12.47446198	pass	pass	pass	pass	1738095	94.92	184365	170690	0.189333	49.67942848	938507	32375	23257	226104	668883	35.94376447	679023	380308	0.018626715	0.130087251	0.384836847	78.84033427	p13	single cell	TRUE
WTCHG_288196_201207	20160513_C66	Inflamed	0.186	Fresh	1406	46	1585493	2.734922198	8.593384737	16.94315626	pass	pass	warn	pass	1578661	92.24	111040	214633	0.466437	61.12038119	996687	1465	49013	84165	499365	21.25044843	346530	760733	0.000928002	0.053314169	0.31632187	99.52548133	p13	single cell	FALSE
WTCHG_288196_201208	20160513_C86	Uninflamed	0.239	Fresh	2369	49	1725491	2.777875978	8.34483211	13.9615847	pass	pass	pass	pass	1721710	94.77	137893	165607	0.36381	62.72368331	1130765	19234	29530	124594	498649	31.43941663	566781	655605	0.011171452	0.072366426	0.289624269	90.29899647	p13	single cell	TRUE
WTCHG_288196_202205	20160513_C23	Uninflamed	0.188	Fresh	1842	51	1854420	3.222409163	7.574875411	14.6995821	pass	pass	warn	pass	1844930	94.34	150859	191601	0.48729	87.74680643	1702761	33427	29157	146642	28552	41.41004123	803578	932457	0.018118303	0.079483774	0.015475926	96.38334877	p13	single cell	TRUE
WTCHG_288196_202206	20160513_C49	Inflamed	0.278	Fresh	3221	49	1704422	2.840904424	7.308177313	17.20003039	pass	pass	warn	pass	1697997	93.08	153594	217483	0.352094	71.2821675	1283295	32242	35506	157130	292130	39.92566807	718783	642618	0.018988255	0.092538444	0.172043885	85.88105643	p13	single cell	TRUE
WTCHG_288196_202207	20160513_C67	Inflamed	0.231	Fresh	2511	44	1987890	2.910070477	7.809265346	15.39123014	pass	pass	pass	pass	1980420	93.82	146853	224959	0.395487	60.12388399	1241459	17021	38872	125583	641900	26.67142895	550721	816381	0.008594642	0.063412306	0.324123166	89.28947041	p13	outlier: neural	TRUE
WTCHG_288196_202208	20160513_C90	Uninflamed	0.338	Fresh	3715	43	1679078	2.652229378	7.203881805	13.77364816	pass	pass	pass	pass	1676346	94.98	172564	163322	0.20801	54.28121232	987315	31628	22842	215437	561667	38.51691884	700580	398256	0.018867227	0.128515831	0.335054338	77.82104407	p13	single cell	TRUE
WTCHG_288196_203204	20160513_C01	Inflamed	0.355	Fresh	2588	49	1599768	3.213153407	7.686036923	10.53129803	pass	pass	pass	pass	1590915	95.43	137952	137167	0.215442	50.98150599	848111	22598	22548	114306	656003	33.89483796	563863	371004	0.014204404	0.071849219	0.412343211	85.40238001	p13	single cell	TRUE
WTCHG_288196_203205	20160513_C24	Uninflamed	0.368	Fresh	2873	44	1632315	3.135362966	8.292281472	11.68840105	pass	pass	pass	pass	1627682	95.04	154013	158053	0.214112	51.09812802	893764	24810	21183	179241	630115	34.61325826	605425	388303	0.015242535	0.110120404	0.387124143	85.57672662	p13	single cell	TRUE
WTCHG_288196_203206	20160513_C50	Inflamed	0.288	Fresh	2924	50	1599030	2.8595461	9.768300161	17.9229352	pass	pass	pass	pass	1587028	93.35	159941	180855	0.319209	61.06940188	1048183	22117	45752	194462	405866	35.07696431	602054	545987	0.013936112	0.12253218	0.255739659	93.05810554	p13	single cell	TRUE
WTCHG_288196_203207	20160513_C68	Inflamed	0.37	Fresh	3396	44	1549807	2.75744012	7.277953992	12.45382623	pass	pass	pass	pass	1546874	95.2	159623	145011	0.184714	46.76196561	782417	24902	20496	190480	654896	33.27432433	556743	324448	0.016098273	0.123138665	0.423367385	81.09534385	p13	outlier: doublet	FALSE
WTCHG_288196_203208	20160513_C91	Inflamed	0.231	Fresh	1771	52	1553612	2.806170395	8.647764358	13.87656154	pass	pass	pass	pass	1548950	93.66	124434	170097	0.298654	41.59498964	680947	1476	41845	126178	786643	18.39136418	301083	492660	0.000952904	0.081460344	0.507855644	98.78238042	p13	single cell	FALSE
WTCHG_288196_204204	20160513_C06	Uninflamed	0.145	Fresh	881	45	1301039	3.147407572	7.629442916	18.1650481	pass	pass	warn	warn	1293429	91.8	81241	184401	0.640759	88.39647678	1171789	1554	36049	51374	64840	27.63075906	366275	839319	0.001201458	0.039719227	0.050130313	99.44188648	p13	single cell	FALSE
WTCHG_288196_204205	20160513_C26	Uninflamed	0.33	Fresh	2646	46	1610133	3.074404413	8.632139107	10.7723362	pass	pass	pass	pass	1605130	95.2	147912	150443	0.203552	49.31082607	840219	23838	21209	150966	667692	33.48828938	570615	360583	0.014851134	0.094052195	0.415973784	83.97163897	p13	single cell	TRUE
WTCHG_288196_204206	20160513_C52	Inflamed	0.268	Fresh	3145	44	1535825	2.850194521	8.218050775	20.14826374	pass	pass	warn	pass	1526469	92.27	160603	207196	0.37374	58.05060911	995882	21514	45981	276852	375312	29.35260655	503556	652888	0.014093965	0.181367588	0.245869389	83.72870995	p13	single cell	TRUE
WTCHG_288196_204207	20160513_C69	Inflamed	0.248	Fresh	2694	45	1567462	2.775633476	8.247560367	16.58387933	pass	pass	pass	pass	1563645	94.37	139659	168061	0.340589	69.14821027	1144109	28042	24058	144873	313493	39.01273741	645495	570841	0.017933738	0.092650825	0.200488602	90.31720243	p13	single cell	TRUE
WTCHG_288196_204208	20160513_C94	Uninflamed	0.177	Fresh	1274	51	1531271	2.874866696	8.50854808	15.14943735	pass	pass	warn	pass	1526961	92.27	87018	200826	0.577478	76.50727226	1198960	841	48024	58145	261149	23.06098005	361393	880468	0.000550767	0.038078903	0.171025324	98.50756483	p13	single cell	FALSE
WTCHG_288196_205204	20160513_C07	Inflamed	0.226	Fresh	2734	47	1287446	4.252916239	10.10849306	18.56564854	pass	pass	warn	warn	1265687	92.83	165421	150720	0.370281	67.67362141	1026575	37022	41048	365418	46887	40.29849369	611308	573305	0.029250518	0.28871119	0.037044704	90.06741799	p13	outlier: endothelial	TRUE
WTCHG_288196_205205	20160513_C30	Inflamed	0.266	Fresh	3083	46	1550926	2.826182552	8.615955603	21.010937	pass	pass	warn	pass	1543934	92.3	117993	213493	0.3368	53.6000398	861894	14151	44658	100754	586553	26.83590276	431524	555939	0.009165547	0.065257971	0.379908079	94.94485348	p13	outlier: endothelial	TRUE
WTCHG_288196_205206	20160513_C53	Inflamed	0.3	Fresh	3099	43	1567323	2.936471933	7.532341948	13.37083721	pass	pass	pass	pass	1562505	94.57	164642	160272	0.259666	63.29621632	1077532	27474	23393	211352	362613	41.44072596	705472	451938	0.017583304	0.135264847	0.232071577	85.9780804	p13	single cell	TRUE
WTCHG_288196_205207	20160513_C71	Inflamed	0.129	Fresh	510	46	1424200	3.063333801	8.130586108	17.08552541	pass	pass	warn	warn	1416468	92.01	72751	188159	0.680887	94.69745828	1352328	1484	47375	20938	5926	28.54386853	407621	957232	0.001047676	0.014781838	0.004183646	99.99941748	p13	single cell	FALSE
WTCHG_288196_205208	20160513_C95	Inflamed	0.274	Fresh	3522	47	1531020	2.650520568	7.424456348	13.85649388	pass	pass	pass	pass	1528785	95.67	150558	127746	0.248462	71.01798619	1161404	40538	15947	169797	247680	49.02407168	801723	418003	0.026516482	0.111066631	0.162011009	81.08017673	p13	single cell	TRUE
WTCHG_288196_206204	20160513_C08	empty	0.146	Fresh	755	44	1638415	3.47903309	7.957633306	15.38940963	pass	pass	warn	warn	1626950	92.96	78008	205546	0.718114	96.98937961	1584467	468	32550	12393	3772	25.79756986	421442	1169218	0.000287655	0.007617321	0.002318449	93.18943716	p13	empty site control	FALSE
WTCHG_288196_206205	20160513_C32	Uninflamed	0.165	Fresh	1088	46	1622406	3.027540579	7.461793585	17.94980625	pass	pass	warn	warn	1616257	92.67	92229	219255	0.645131	87.85876384	1448328	4041	33096	51496	111512	26.29858057	433525	1058236	0.002500221	0.03186127	0.068993978	99.708783	p13	single cell	FALSE
WTCHG_288196_206206	20160513_C54	Uninflamed	0.399	Fresh	3593	45	1703062	2.899131094	7.737694657	10.58519565	pass	pass	pass	pass	1698731	94.97	188560	164192	0.190835	53.39457274	989489	34504	22318	234304	572549	38.51110857	713674	370568	0.020311633	0.137928842	0.337045124	79.82217014	p13	single cell	TRUE
WTCHG_288196_206207	20160513_C72	Inflamed	0.313	Fresh	3391	48	1327337	2.766893411	8.016111544	14.99932839	pass	pass	pass	pass	1325166	94.25	118014	145047	0.218112	57.54918691	802627	25636	21843	109662	434912	39.40710414	549603	321339	0.019345501	0.082753406	0.328194355	82.18237254	p13	single cell	TRUE
WTCHG_288196_207204	20160513_C11	Uninflamed	0.28	Fresh	2760	48	1549888	3.404955713	9.223058295	13.83783952	pass	pass	pass	pass	1538217	94.43	150078	158822	0.282566	62.66380922	1033340	35121	29014	171096	380451	38.72931956	638655	468753	0.022832279	0.11123008	0.247332463	89.33306877	p13	single cell	TRUE
WTCHG_288196_207205	20160513_C35	Inflamed	0.209	Fresh	1982	46	1705556	2.892077422	7.824322395	16.97138336	pass	pass	warn	pass	1697369	93.32	169838	204280	0.43081	61.73942009	1145428	13157	38166	235439	423072	26.35406751	488937	785554	0.007751408	0.138708201	0.249251636	97.30096832	p13	single cell	TRUE
WTCHG_288196_207206	20160513_C55	Inflamed	0.25	Fresh	2053	46	1735335	2.940412082	8.980598525	11.93462757	pass	pass	pass	pass	1728374	94.41	143150	177483	0.287591	49.82103275	903763	23976	32323	128359	725598	27.61382323	500920	536143	0.013871998	0.074265755	0.419815387	94.60197917	p13	single cell	TRUE
WTCHG_288196_207207	20160513_C75	Uninflamed	0.154	Fresh	2391	48	1596501	2.907420666	7.275244025	13.85688538	pass	pass	pass	pass	1594009	94.95	155991	154374	0.321528	67.38847297	1156399	32402	18941	188234	320043	39.54600736	678617	555744	0.020327363	0.118088417	0.200778666	89.71775316	p13	single cell	TRUE
WTCHG_288196_208204	20160513_C14	Inflamed	0.342	Fresh	3922	52	1412643	3.306638691	9.436892651	17.0506071	pass	pass	pass	pass	1401997	93.89	168053	155587	0.246164	63.28372633	999257	35533	30607	271806	241808	43.6956424	689959	401085	0.025344562	0.1938706	0.172473978	82.85368995	p13	single cell	TRUE
WTCHG_288196_208205	20160513_C36	Inflamed	0.388	Fresh	3122	46	1549627	3.102746661	8.97702036	10.5319843	pass	pass	pass	pass	1545008	95.39	146433	137753	0.179373	46.50521218	765320	23274	20473	151876	684722	33.32598068	548434	310504	0.015064	0.098301109	0.443183466	79.95256196	p13	single cell	TRUE
WTCHG_288196_208206	20160513_C56	Inflamed	0.29	Fresh	3685	45	1529331	2.882044502	8.329905429	19.17966676	pass	pass	warn	pass	1519797	92.37	169825	203103	0.325213	58.93288612	1002205	26181	45177	273736	353288	33.43962996	568670	565588	0.017226643	0.180113528	0.232457361	85.71921683	p13	single cell	TRUE
WTCHG_288196_208207	20160513_C76	Inflamed	0.23	Fresh	2621	48	1476645	2.875504945	8.144523113	13.31506038	pass	pass	pass	pass	1472851	94.57	127093	152529	0.307374	52.81763704	822153	14362	22854	126962	570257	26.9403336	419350	481507	0.009751156	0.086201523	0.387179015	91.89941767	p13	outlier: endothelial	TRUE
WTCHG_288196_225204	20160513_C16	Uninflamed	0.226	Fresh	2412	47	1744529	3.044317406	8.146609631	15.81298196	pass	pass	warn	pass	1736902	92.83	126165	228145	0.348234	48.38646272	886215	5800	46234	133382	759904	20.79878353	380937	632765	0.003339279	0.076793049	0.437505398	95.60369464	p13	outlier: debris	FALSE
WTCHG_288196_225205	20160513_C38	Inflamed	0.218	Fresh	3090	44	1980434	3.040545658	8.465954196	23.57561976	pass	pass	warn	pass	1960063	90.39	202357	309675	0.398134	56.28660922	1222311	24941	91380	317796	515156	27.05269518	587472	848857	0.012724591	0.162135605	0.262826246	93.45575172	p13	single cell	TRUE
WTCHG_288196_225206	20160513_C57	Inflamed	0.467	Fresh	3891	46	1862172	2.960199165	8.147874657	10.51646322	pass	pass	pass	pass	1857383	95.06	175064	177502	0.182819	45.66222413	893570	30341	26065	154838	852099	32.66731837	639271	377183	0.016335349	0.083363528	0.458763217	71.6830048	p13	single cell	TRUE
WTCHG_288196_225207	20160513_C77	Inflamed	0.233	Fresh	1842	47	1879343	2.844291862	8.365919501	12.86241259	pass	pass	pass	pass	1872417	94.87	158696	177817	0.322443	53.7581587	1071134	15404	30464	176369	699134	28.53669125	568595	652017	0.0082268	0.094193227	0.373385843	96.76816211	p13	single cell	TRUE
WTCHG_288196_226204	20160513_C17	Uninflamed	0.221	Fresh	1945	45	1487196	2.897331623	7.612391997	14.64783115	pass	pass	warn	warn	1484288	93.09	111238	198364	0.353657	61.6219481	940688	10573	27448	68154	479684	30.10853908	459621	555203	0.007123281	0.045916965	0.323174478	93.8610051	p13	outlier: neural	TRUE
WTCHG_288196_226205	20160513_C41	Inflamed	0.331	Fresh	3766	38	1692247	2.92226844	7.507498083	13.87830592	pass	pass	pass	pass	1686935	94.62	178916	173951	0.230533	55.66456947	1029578	34118	25600	241692	518623	37.80000227	699153	445507	0.020224846	0.143272859	0.307435082	80.62520921	p13	single cell	TRUE
WTCHG_288196_226206	20160513_C59	Uninflamed	0.232	Fresh	1872	50	1728594	2.862384111	8.423549232	12.2906052	pass	pass	pass	pass	1723837	94.07	127488	193259	0.340567	56.83841606	1014248	13856	30010	95560	630767	28.43792538	507458	619675	0.008037883	0.055434476	0.365908726	95.23707682	p13	outlier: debris	FALSE
WTCHG_288196_226207	20160513_C78	Inflamed	0.347	Fresh	2597	43	1695681	2.717197397	7.192330668	9.682946515	pass	pass	pass	pass	1693689	95.71	154536	143185	0.187363	44.42668299	789854	20671	17215	127465	822677	30.82403669	548015	351416	0.01220472	0.075258799	0.485730851	87.50386095	p13	single cell	TRUE
